Input	Input_source	Output	Output_source
C01680	KEGG	CHEBI:16824	ChEBI
C01680	KEGG	CHEBI:16824	ChEBI
C01720	KEGG	CHEBI:17291	ChEBI
C01720	KEGG	CHEBI:17291	ChEBI
C00880	KEGG	CHEBI:16534	ChEBI
C15483	KEGG	CHEBI:15945	ChEBI
C02669	KEGG	CHEBI:15945	ChEBI
C03383	KEGG	CHEBI:15895	ChEBI
C20896	KEGG	CHEBI:85532	ChEBI
C03408	KEGG	CHEBI:38440	ChEBI
C15930	KEGG	CHEBI:37425	ChEBI
C01115	KEGG	CHEBI:17464	ChEBI
C00257	KEGG	CHEBI:33198	ChEBI
C03107	KEGG	CHEBI:16165	ChEBI
C00198	KEGG	CHEBI:16217	ChEBI
C01093	KEGG	CHEBI:17863	ChEBI
C01093	KEGG	CHEBI:17863	ChEBI
C06473	KEGG	CHEBI:27469	ChEBI
C02782	KEGG	CHEBI:16138	ChEBI
C00800	KEGG	CHEBI:16154	ChEBI
C01040	KEGG	CHEBI:17587	ChEBI
C00770	KEGG	CHEBI:21336	ChEBI
C00514	KEGG	CHEBI:33076	ChEBI
C02024	KEGG	CHEBI:79047	ChEBI
C02024	KEGG	CHEBI:16224	ChEBI
C02024	KEGG	CHEBI:16224	ChEBI
C01934	KEGG	CHEBI:21376	ChEBI
C02991	KEGG	CHEBI:17937	ChEBI
C01934	KEGG	CHEBI:17357	ChEBI
C03215	KEGG	CHEBI:17077	ChEBI
C00652	KEGG	CHEBI:16292	ChEBI
C00545	KEGG	CHEBI:33510	ChEBI
C01114	KEGG	CHEBI:17100	ChEBI
C01685	KEGG	CHEBI:21077	ChEBI
C02674	KEGG	CHEBI:17281	ChEBI
C05411	KEGG	CHEBI:48092	ChEBI
C02994	KEGG	CHEBI:18118	ChEBI
C00502	KEGG	CHEBI:48093	ChEBI
C02266	KEGG	CHEBI:15867	ChEBI
C02266	KEGG	CHEBI:15867	ChEBI
C05412	KEGG	CHEBI:6268	ChEBI
C00258	KEGG	CHEBI:32398	ChEBI
C01620	KEGG	CHEBI:49060	ChEBI
C01620	KEGG	CHEBI:15908	ChEBI
C03921	KEGG	CHEBI:17305	ChEBI
C03921	KEGG	CHEBI:17305	ChEBI
C03062	KEGG	CHEBI:17470	ChEBI
C03062	KEGG	CHEBI:17470	ChEBI
C03156	KEGG	CHEBI:16590	ChEBI
C03156	KEGG	CHEBI:52785	ChEBI
C00879	KEGG	CHEBI:30852	ChEBI
C02866	KEGG	CHEBI:16681	ChEBI
C00818	KEGG	CHEBI:16002	ChEBI
C00679	KEGG	CHEBI:16369	ChEBI
C00898	KEGG	CHEBI:15674	ChEBI
C00552	KEGG	CHEBI:15673	ChEBI
C00898	KEGG	CHEBI:15671	ChEBI
C02107	KEGG	CHEBI:15672	ChEBI
C04053	KEGG	CHEBI:17782	ChEBI
C00905	KEGG	CHEBI:4126	ChEBI
C02273	KEGG	CHEBI:33809	ChEBI
C02273	KEGG	CHEBI:141006	ChEBI
C08348	KEGG	CHEBI:33830	ChEBI
C00333	KEGG	CHEBI:4153	ChEBI
C08348	KEGG	CHEBI:47954	ChEBI
C04733	KEGG	CHEBI:15863	ChEBI
C06118	KEGG	CHEBI:27450	ChEBI
C00191	KEGG	CHEBI:4178	ChEBI
C04354	KEGG	CHEBI:17676	ChEBI
C04354	KEGG	CHEBI:17676	ChEBI
C02670	KEGG	CHEBI:18268	ChEBI
C03387	KEGG	CHEBI:17039	ChEBI
C00191	KEGG	CHEBI:47952	ChEBI
C08350	KEGG	CHEBI:28860	ChEBI
C11135	KEGG	CHEBI:28832	ChEBI
C12632	KEGG	CHEBI:16559	ChEBI
C03515	KEGG	CHEBI:18128	ChEBI
C04900	KEGG	CHEBI:37645	ChEBI
C12632	KEGG	CHEBI:60077	ChEBI
C16245	KEGG	CHEBI:47953	ChEBI
C16737	KEGG	CHEBI:50923	ChEBI
C11061	KEGG	CHEBI:28870	ChEBI
C05787	KEGG	CHEBI:18392	ChEBI
C03374	KEGG	CHEBI:16427	ChEBI
C06477	KEGG	CHEBI:28378	ChEBI
C06472	KEGG	CHEBI:47903	ChEBI
C03804	KEGG	CHEBI:17163	ChEBI
C04575	KEGG	CHEBI:15622	ChEBI
C11544	KEGG	CHEBI:15847	ChEBI
C16699	KEGG	CHEBI:61001	ChEBI
C06470	KEGG	CHEBI:7027	ChEBI
C02713	KEGG	CHEBI:21615	ChEBI
C16698	KEGG	CHEBI:47968	ChEBI
C06370	KEGG	CHEBI:52773	ChEBI
C03033	KEGG	CHEBI:15341	ChEBI
C03033	KEGG	CHEBI:15341	ChEBI
C08964	KEGG	CHEBI:37658	ChEBI
C11584	KEGG	CHEBI:1904	ChEBI
C05503	KEGG	CHEBI:36489	ChEBI
C11133	KEGG	CHEBI:28919	ChEBI
C11134	KEGG	CHEBI:28835	ChEBI
C05504	KEGG	CHEBI:766	ChEBI
C11246	KEGG	CHEBI:137822	ChEBI
C11132	KEGG	CHEBI:37450	ChEBI
C11131	KEGG	CHEBI:36491	ChEBI
C08952	KEGG	CHEBI:46707	ChEBI
C04806	KEGG	CHEBI:16129	ChEBI
C04300	KEGG	CHEBI:15822	ChEBI
C11136	KEGG	CHEBI:37451	ChEBI
C11237	KEGG	CHEBI:791	ChEBI
C11288	KEGG	CHEBI:45869	ChEBI
C15207	KEGG	CHEBI:79720	ChEBI
C05503	KEGG	CHEBI:175586	ChEBI
C03033	KEGG	CHEBI:176746	ChEBI
C04300	KEGG	CHEBI:182617	ChEBI
C04806	KEGG	CHEBI:182943	ChEBI
C02284	KEGG	CHEBI:15939	ChEBI
C10025	KEGG	CHEBI:2981	ChEBI
C11107	KEGG	CHEBI:1679	ChEBI
C11375	KEGG	CHEBI:8991	ChEBI
C11586	KEGG	CHEBI:10320	ChEBI
C11597	KEGG	CHEBI:5544	ChEBI
C11608	KEGG	CHEBI:7450	ChEBI
C14869	KEGG	CHEBI:35021	ChEBI
C17752	KEGG	CHEBI:81317	ChEBI
C19605	KEGG	CHEBI:82591	ChEBI
C03033	KEGG	CHEBI:167579	ChEBI
C17388	KEGG	CHEBI:81052	ChEBI
C17477	KEGG	CHEBI:81119	ChEBI
C04794	KEGG	CHEBI:16126	ChEBI
C04794	KEGG	CHEBI:16126	ChEBI
C08983	KEGG	CHEBI:9211	ChEBI
C03126	KEGG	CHEBI:177724	ChEBI
C06477	KEGG	CHEBI:182510	ChEBI
C21034	KEGG	CHEBI:182514	ChEBI
C21037	KEGG	CHEBI:182515	ChEBI
C21047	KEGG	CHEBI:182516	ChEBI
C21059	KEGG	CHEBI:182517	ChEBI
C05768	KEGG	CHEBI:28607	ChEBI
C03263	KEGG	CHEBI:15439	ChEBI
C08547	KEGG	CHEBI:5519	ChEBI
C08555	KEGG	CHEBI:6946	ChEBI
C08560	KEGG	CHEBI:7032	ChEBI
C08563	KEGG	CHEBI:7033	ChEBI
C08569	KEGG	CHEBI:10026	ChEBI
C10437	KEGG	CHEBI:3594	ChEBI
C12006	KEGG	CHEBI:29619	ChEBI
C09122	KEGG	CHEBI:177455	ChEBI
C01001	KEGG	CHEBI:16314	ChEBI
C03579	KEGG	CHEBI:28861	ChEBI
C03579	KEGG	CHEBI:28861	ChEBI
C11870	KEGG	CHEBI:29604	ChEBI
C00859	KEGG	CHEBI:27717	ChEBI
C02035	KEGG	CHEBI:27742	ChEBI
C01699	KEGG	CHEBI:28833	ChEBI
C04070	KEGG	CHEBI:52076	ChEBI
C04070	KEGG	CHEBI:52076	ChEBI
C11864	KEGG	CHEBI:32902	ChEBI
C11867	KEGG	CHEBI:32903	ChEBI
C06096	KEGG	CHEBI:28040	ChEBI
C11863	KEGG	CHEBI:29605	ChEBI
C11866	KEGG	CHEBI:29467	ChEBI
C11856	KEGG	CHEBI:29602	ChEBI
C11871	KEGG	CHEBI:29598	ChEBI
C11865	KEGG	CHEBI:29599	ChEBI
C11854	KEGG	CHEBI:29600	ChEBI
C11868	KEGG	CHEBI:29593	ChEBI
C11855	KEGG	CHEBI:29592	ChEBI
C11869	KEGG	CHEBI:29594	ChEBI
C02034	KEGG	CHEBI:28731	ChEBI
C11861	KEGG	CHEBI:32906	ChEBI
C12308	KEGG	CHEBI:28211	ChEBI
C06094	KEGG	CHEBI:27433	ChEBI
C11905	KEGG	CHEBI:29601	ChEBI
C11857	KEGG	CHEBI:30088	ChEBI
C06093	KEGG	CHEBI:15610	ChEBI
C11859	KEGG	CHEBI:29596	ChEBI
C11862	KEGG	CHEBI:29595	ChEBI
C11860	KEGG	CHEBI:29590	ChEBI
C11858	KEGG	CHEBI:29588	ChEBI
C11853	KEGG	CHEBI:29589	ChEBI
C06095	KEGG	CHEBI:27531	ChEBI
C14162	KEGG	CHEBI:133339	ChEBI
C06093	KEGG	CHEBI:181385	ChEBI
C11859	KEGG	CHEBI:182499	ChEBI
C06808	KEGG	CHEBI:27777	ChEBI
C06808	KEGG	CHEBI:27777	ChEBI
C03719	KEGG	CHEBI:17520	ChEBI
C03719	KEGG	CHEBI:17520	ChEBI
C04720	KEGG	CHEBI:18048	ChEBI
C04831	KEGG	CHEBI:16603	ChEBI
C15770	KEGG	CHEBI:63558	ChEBI
C15771	KEGG	CHEBI:63746	ChEBI
C12889	KEGG	CHEBI:32350	ChEBI
C18912	KEGG	CHEBI:82055	ChEBI
C18362	KEGG	CHEBI:76277	ChEBI
C11343	KEGG	CHEBI:45615	ChEBI
C06940	KEGG	CHEBI:4356	ChEBI
C10932	KEGG	CHEBI:3434	ChEBI
C06505	KEGG	CHEBI:28531	ChEBI
C06504	KEGG	CHEBI:27937	ChEBI
C06506	KEGG	CHEBI:2482	ChEBI
C00488	KEGG	CHEBI:16397	ChEBI
C11519	KEGG	CHEBI:17945	ChEBI
C03134	KEGG	CHEBI:17741	ChEBI
C15561	KEGG	CHEBI:41117	ChEBI
C11489	KEGG	CHEBI:7438	ChEBI
C11339	KEGG	CHEBI:2762	ChEBI
C11339	KEGG	CHEBI:2762	ChEBI
C16674	KEGG	CHEBI:80654	ChEBI
C17987	KEGG	CHEBI:81438	ChEBI
C17992	KEGG	CHEBI:81443	ChEBI
C17996	KEGG	CHEBI:81447	ChEBI
C16365	KEGG	CHEBI:32643	ChEBI
C02298	KEGG	CHEBI:15363	ChEBI
C01926	KEGG	CHEBI:49662	ChEBI
C02693	KEGG	CHEBI:16031	ChEBI
C01956	KEGG	CHEBI:45285	ChEBI
C01659	KEGG	CHEBI:28619	ChEBI
C06244	KEGG	CHEBI:27856	ChEBI
C19302	KEGG	CHEBI:32497	ChEBI
C10951	KEGG	CHEBI:7100	ChEBI
C20339	KEGG	CHEBI:84254	ChEBI
C02808	KEGG	CHEBI:2413	ChEBI
C00153	KEGG	CHEBI:17154	ChEBI
C03150	KEGG	CHEBI:15927	ChEBI
C02421	KEGG	CHEBI:6031	ChEBI
C01950	KEGG	CHEBI:8200	ChEBI
C05843	KEGG	CHEBI:27838	ChEBI
C05843	KEGG	CHEBI:27838	ChEBI
C05842	KEGG	CHEBI:27410	ChEBI
C18547	KEGG	CHEBI:81822	ChEBI
C18549	KEGG	CHEBI:81824	ChEBI
C00195	KEGG	CHEBI:17761	ChEBI
C06131	KEGG	CHEBI:28743	ChEBI
C06130	KEGG	CHEBI:28287	ChEBI
C06132	KEGG	CHEBI:62650	ChEBI
C13925	KEGG	CHEBI:35083	ChEBI
C04884	KEGG	CHEBI:177482	ChEBI
C04911	KEGG	CHEBI:177678	ChEBI
C04884	KEGG	CHEBI:177682	ChEBI
C04910	KEGG	CHEBI:17292	ChEBI
C06136	KEGG	CHEBI:27938	ChEBI
C03272	KEGG	CHEBI:18259	ChEBI
C04922	KEGG	CHEBI:17006	ChEBI
C06273	KEGG	CHEBI:62870	ChEBI
C04845	KEGG	CHEBI:17103	ChEBI
C04740	KEGG	CHEBI:15679	ChEBI
C04737	KEGG	CHEBI:18313	ChEBI
C06135	KEGG	CHEBI:27731	ChEBI
C04925	KEGG	CHEBI:18056	ChEBI
C04939	KEGG	CHEBI:16506	ChEBI
C04938	KEGG	CHEBI:142448	ChEBI
C01290	KEGG	CHEBI:17950	ChEBI
C06134	KEGG	CHEBI:28648	ChEBI
C04884	KEGG	CHEBI:51013	ChEBI
C04924	KEGG	CHEBI:16121	ChEBI
C04936	KEGG	CHEBI:36528	ChEBI
C04911	KEGG	CHEBI:18216	ChEBI
C06141	KEGG	CHEBI:28175	ChEBI
C06139	KEGG	CHEBI:27515	ChEBI
C06138	KEGG	CHEBI:27691	ChEBI
C06140	KEGG	CHEBI:28058	ChEBI
C04927	KEGG	CHEBI:18163	ChEBI
C06133	KEGG	CHEBI:28424	ChEBI
C06299	KEGG	CHEBI:28541	ChEBI
C04730	KEGG	CHEBI:15681	ChEBI
C06128	KEGG	CHEBI:27499	ChEBI
C04911	KEGG	CHEBI:177701	ChEBI
C04730	KEGG	CHEBI:180863	ChEBI
C02686	KEGG	CHEBI:36498	ChEBI
C02686	KEGG	CHEBI:176270	ChEBI
C03272	KEGG	CHEBI:177780	ChEBI
C06126	KEGG	CHEBI:178201	ChEBI
C04737	KEGG	CHEBI:180844	ChEBI
C06126	KEGG	CHEBI:184954	ChEBI
C04737	KEGG	CHEBI:185377	ChEBI
C06820	KEGG	CHEBI:2637	ChEBI
C18675	KEGG	CHEBI:53124	ChEBI
C14494	KEGG	CHEBI:116915	ChEBI
C15535	KEGG	CHEBI:55469	ChEBI
C06746	KEGG	CHEBI:18177	ChEBI
C06746	KEGG	CHEBI:18177	ChEBI
C04504	KEGG	CHEBI:16844	ChEBI
C08146	KEGG	CHEBI:63607	ChEBI
C07592	KEGG	CHEBI:27882	ChEBI
C07037	KEGG	CHEBI:5558	ChEBI
C07428	KEGG	CHEBI:8049	ChEBI
C11773	KEGG	CHEBI:4800	ChEBI
C14123	KEGG	CHEBI:34550	ChEBI
C16710	KEGG	CHEBI:80675	ChEBI
C16712	KEGG	CHEBI:80676	ChEBI
C17963	KEGG	CHEBI:81415	ChEBI
C03682	KEGG	CHEBI:2165	ChEBI
C10125	KEGG	CHEBI:2670	ChEBI
C01215	KEGG	CHEBI:16253	ChEBI
C01250	KEGG	CHEBI:16319	ChEBI
C17515	KEGG	CHEBI:81149	ChEBI
C18830	KEGG	CHEBI:81991	ChEBI
C07278	KEGG	CHEBI:546807	ChEBI
C04750	KEGG	CHEBI:16117	ChEBI
C21557	KEGG	CHEBI:177801	ChEBI
C03413	KEGG	CHEBI:178484	ChEBI
C10938	KEGG	CHEBI:195905	ChEBI
C09464	KEGG	CHEBI:5952	ChEBI
C04621	KEGG	CHEBI:15659	ChEBI
C04621	KEGG	CHEBI:15659	ChEBI
C19558	KEGG	CHEBI:15660	ChEBI
C04622	KEGG	CHEBI:15660	ChEBI
C04622	KEGG	CHEBI:15660	ChEBI
C14306	KEGG	CHEBI:34891	ChEBI
C12099	KEGG	CHEBI:73481	ChEBI
C10123	KEGG	CHEBI:2471	ChEBI
C10131	KEGG	CHEBI:2901	ChEBI
C10166	KEGG	CHEBI:8241	ChEBI
C10455	KEGG	CHEBI:4966	ChEBI
C10577	KEGG	CHEBI:3451	ChEBI
C15641	KEGG	CHEBI:79999	ChEBI
C11299	KEGG	CHEBI:9997	ChEBI
C18583	KEGG	CHEBI:81848	ChEBI
C12111	KEGG	CHEBI:29623	ChEBI
C00918	KEGG	CHEBI:17698	ChEBI
C11726	KEGG	CHEBI:3605	ChEBI
C03601	KEGG	CHEBI:16730	ChEBI
C03601	KEGG	CHEBI:16730	ChEBI
C01866	KEGG	CHEBI:35627	ChEBI
C03438	KEGG	CHEBI:27933	ChEBI
C02954	KEGG	CHEBI:16705	ChEBI
C00395	KEGG	CHEBI:17334	ChEBI
C07334	KEGG	CHEBI:7809	ChEBI
C06923	KEGG	CHEBI:49566	ChEBI
C05557	KEGG	CHEBI:18165	ChEBI
C06574	KEGG	CHEBI:28971	ChEBI
C11750	KEGG	CHEBI:8255	ChEBI
C08122	KEGG	CHEBI:2968	ChEBI
C17405	KEGG	CHEBI:51207	ChEBI
C06827	KEGG	CHEBI:2676	ChEBI
C07139	KEGG	CHEBI:9587	ChEBI
C12766	KEGG	CHEBI:31444	ChEBI
C06839	KEGG	CHEBI:2956	ChEBI
C06869	KEGG	CHEBI:3393	ChEBI
C11752	KEGG	CHEBI:3414	ChEBI
C07250	KEGG	CHEBI:7447	ChEBI
C06950	KEGG	CHEBI:4511	ChEBI
C11748	KEGG	CHEBI:5098	ChEBI
C11729	KEGG	CHEBI:5683	ChEBI
C07177	KEGG	CHEBI:6827	ChEBI
C07221	KEGG	CHEBI:6919	ChEBI
C14034	KEGG	CHEBI:8232	ChEBI
C11170	KEGG	CHEBI:9322	ChEBI
C11749	KEGG	CHEBI:7965	ChEBI
C17402	KEGG	CHEBI:81063	ChEBI
C17403	KEGG	CHEBI:81064	ChEBI
C17404	KEGG	CHEBI:81065	ChEBI
C05551	KEGG	CHEBI:18208	ChEBI
C08126	KEGG	CHEBI:27446	ChEBI
C06564	KEGG	CHEBI:18203	ChEBI
C07770	KEGG	CHEBI:9321	ChEBI
C07771	KEGG	CHEBI:9421	ChEBI
C17356	KEGG	CHEBI:81025	ChEBI
C17357	KEGG	CHEBI:81026	ChEBI
C17358	KEGG	CHEBI:81027	ChEBI
C17361	KEGG	CHEBI:81030	ChEBI
C00875	KEGG	CHEBI:23066	ChEBI
C03674	KEGG	CHEBI:28084	ChEBI
C06894	KEGG	CHEBI:3515	ChEBI
C04448	KEGG	CHEBI:47879	ChEBI
C03112	KEGG	CHEBI:18065	ChEBI
C03112	KEGG	CHEBI:18065	ChEBI
C00916	KEGG	CHEBI:15776	ChEBI
C06565	KEGG	CHEBI:18229	ChEBI
C15666	KEGG	CHEBI:41425	ChEBI
C07756	KEGG	CHEBI:2255	ChEBI
C11199	KEGG	CHEBI:3503	ChEBI
C11210	KEGG	CHEBI:3496	ChEBI
C06683	KEGG	CHEBI:29007	ChEBI
C07761	KEGG	CHEBI:124991	ChEBI
C08103	KEGG	CHEBI:3489	ChEBI
C06882	KEGG	CHEBI:3491	ChEBI
C06895	KEGG	CHEBI:3534	ChEBI
C06879	KEGG	CHEBI:3480	ChEBI
C11754	KEGG	CHEBI:3537	ChEBI
C06880	KEGG	CHEBI:474053	ChEBI
C06878	KEGG	CHEBI:3479	ChEBI
C06885	KEGG	CHEBI:204928	ChEBI
C06889	KEGG	CHEBI:3508	ChEBI
C06877	KEGG	CHEBI:3478	ChEBI
C06896	KEGG	CHEBI:554446	ChEBI
C13440	KEGG	CHEBI:34613	ChEBI
C06890	KEGG	CHEBI:553473	ChEBI
C06883	KEGG	CHEBI:3493	ChEBI
C06884	KEGG	CHEBI:3495	ChEBI
C06888	KEGG	CHEBI:3506	ChEBI
C06881	KEGG	CHEBI:472657	ChEBI
C08110	KEGG	CHEBI:3485	ChEBI
C08111	KEGG	CHEBI:478164	ChEBI
C08114	KEGG	CHEBI:3504	ChEBI
C08115	KEGG	CHEBI:3505	ChEBI
C08117	KEGG	CHEBI:3510	ChEBI
C04712	KEGG	CHEBI:15838	ChEBI
C04712	KEGG	CHEBI:15838	ChEBI
C06887	KEGG	CHEBI:209807	ChEBI
C07231	KEGG	CHEBI:599928	ChEBI
C08107	KEGG	CHEBI:3516	ChEBI
C11202	KEGG	CHEBI:3484	ChEBI
C12979	KEGG	CHEBI:31379	ChEBI
C06566	KEGG	CHEBI:3543	ChEBI
C06886	KEGG	CHEBI:3499	ChEBI
C06669	KEGG	CHEBI:615	ChEBI
C17398	KEGG	CHEBI:58998	ChEBI
C11268	KEGG	CHEBI:3089	ChEBI
C06665	KEGG	CHEBI:471744	ChEBI
C06664	KEGG	CHEBI:9542	ChEBI
C12017	KEGG	CHEBI:29621	ChEBI
C12018	KEGG	CHEBI:29675	ChEBI
C17368	KEGG	CHEBI:81035	ChEBI
C17369	KEGG	CHEBI:81036	ChEBI
C17370	KEGG	CHEBI:81037	ChEBI
C17371	KEGG	CHEBI:81038	ChEBI
C17372	KEGG	CHEBI:81039	ChEBI
C17373	KEGG	CHEBI:81040	ChEBI
C17374	KEGG	CHEBI:81041	ChEBI
C17375	KEGG	CHEBI:81042	ChEBI
C17376	KEGG	CHEBI:81043	ChEBI
C17377	KEGG	CHEBI:81044	ChEBI
C17396	KEGG	CHEBI:81059	ChEBI
C17397	KEGG	CHEBI:81060	ChEBI
C17399	KEGG	CHEBI:81061	ChEBI
C17400	KEGG	CHEBI:81062	ChEBI
C20816	KEGG	CHEBI:138872	ChEBI
C20820	KEGG	CHEBI:138873	ChEBI
C20813	KEGG	CHEBI:144403	ChEBI
C20821	KEGG	CHEBI:176930	ChEBI
C20814	KEGG	CHEBI:176934	ChEBI
C06840	KEGG	CHEBI:161680	ChEBI
C16842	KEGG	CHEBI:80766	ChEBI
C17350	KEGG	CHEBI:81020	ChEBI
C17353	KEGG	CHEBI:81023	ChEBI
C20921	KEGG	CHEBI:172915	ChEBI
C01739	KEGG	CHEBI:29091	ChEBI
C17354	KEGG	CHEBI:33012	ChEBI
C06662	KEGG	CHEBI:48947	ChEBI
C17367	KEGG	CHEBI:73978	ChEBI
C20822	KEGG	CHEBI:176936	ChEBI
C20817	KEGG	CHEBI:182623	ChEBI
C20823	KEGG	CHEBI:182768	ChEBI
C06661	KEGG	CHEBI:27819	ChEBI
C06593	KEGG	CHEBI:28579	ChEBI
C05328	KEGG	CHEBI:29090	ChEBI
C15251	KEGG	CHEBI:79753	ChEBI
C11225	KEGG	CHEBI:5674	ChEBI
C12176	KEGG	CHEBI:71970	ChEBI
C12045	KEGG	CHEBI:29515	ChEBI
C19954	KEGG	CHEBI:23527	ChEBI
C15769	KEGG	CHEBI:63559	ChEBI
C13355	KEGG	CHEBI:47943	ChEBI
C07841	KEGG	CHEBI:6437	ChEBI
C19548	KEGG	CHEBI:82551	ChEBI
C10602	KEGG	CHEBI:6461	ChEBI
C08511	KEGG	CHEBI:9440	ChEBI
C12312	KEGG	CHEBI:31697	ChEBI
C05834	KEGG	CHEBI:28254	ChEBI
C11130	KEGG	CHEBI:28536	ChEBI
C02796	KEGG	CHEBI:17920	ChEBI
C02796	KEGG	CHEBI:17920	ChEBI
C02366	KEGG	CHEBI:17397	ChEBI
C09204	KEGG	CHEBI:9747	ChEBI
C18487	KEGG	CHEBI:45141	ChEBI
C10758	KEGG	CHEBI:3341	ChEBI
C10013	KEGG	CHEBI:9040	ChEBI
C10576	KEGG	CHEBI:3361	ChEBI
C10582	KEGG	CHEBI:3804	ChEBI
C10608	KEGG	CHEBI:7902	ChEBI
C10611	KEGG	CHEBI:8253	ChEBI
C10612	KEGG	CHEBI:8270	ChEBI
C12051	KEGG	CHEBI:29631	ChEBI
C12052	KEGG	CHEBI:29692	ChEBI
C12068	KEGG	CHEBI:29584	ChEBI
C12098	KEGG	CHEBI:29516	ChEBI
C12177	KEGG	CHEBI:32054	ChEBI
C12246	KEGG	CHEBI:32068	ChEBI
C12247	KEGG	CHEBI:32099	ChEBI
C14721	KEGG	CHEBI:34349	ChEBI
C14722	KEGG	CHEBI:34949	ChEBI
C14723	KEGG	CHEBI:34950	ChEBI
C14724	KEGG	CHEBI:34669	ChEBI
C14725	KEGG	CHEBI:34670	ChEBI
C15688	KEGG	CHEBI:80023	ChEBI
C15756	KEGG	CHEBI:80084	ChEBI
C15823	KEGG	CHEBI:80108	ChEBI
C08441	KEGG	CHEBI:9439	ChEBI
C12044	KEGG	CHEBI:29673	ChEBI
C14727	KEGG	CHEBI:34311	ChEBI
C06843	KEGG	CHEBI:3011	ChEBI
C01848	KEGG	CHEBI:17876	ChEBI
C01849	KEGG	CHEBI:16324	ChEBI
C01849	KEGG	CHEBI:16324	ChEBI
C07235	KEGG	CHEBI:45367	ChEBI
C11222	KEGG	CHEBI:5292	ChEBI
C01375	KEGG	CHEBI:61049	ChEBI
C07909	KEGG	CHEBI:9168	ChEBI
C15183	KEGG	CHEBI:82677	ChEBI
C15183	KEGG	CHEBI:79700	ChEBI
C15182	KEGG	CHEBI:79699	ChEBI
C07654	KEGG	CHEBI:6805	ChEBI
C13831	KEGG	CHEBI:34726	ChEBI
C18533	KEGG	CHEBI:81810	ChEBI
C12946	KEGG	CHEBI:31326	ChEBI
C18454	KEGG	CHEBI:67113	ChEBI
C19456	KEGG	CHEBI:82492	ChEBI
C15760	KEGG	CHEBI:78591	ChEBI
C02581	KEGG	CHEBI:8480	ChEBI
C17166	KEGG	CHEBI:80954	ChEBI
C06769	KEGG	CHEBI:9973	ChEBI
C18070	KEGG	CHEBI:81478	ChEBI
C19043	KEGG	CHEBI:82170	ChEBI
C18782	KEGG	CHEBI:81956	ChEBI
C11488	KEGG	CHEBI:5593	ChEBI
C14525	KEGG	CHEBI:34830	ChEBI
C03882	KEGG	CHEBI:28821	ChEBI
C03882	KEGG	CHEBI:28821	ChEBI
C18800	KEGG	CHEBI:81969	ChEBI
C07362	KEGG	CHEBI:8242	ChEBI
C07398	KEGG	CHEBI:8713	ChEBI
C21540	KEGG	CHEBI:140296	ChEBI
C07637	KEGG	CHEBI:4601	ChEBI
C21479	KEGG	CHEBI:173109	ChEBI
C14758	KEGG	CHEBI:40710	ChEBI
C10174	KEGG	CHEBI:9691	ChEBI
C14971	KEGG	CHEBI:79495	ChEBI
C15394	KEGG	CHEBI:79895	ChEBI
C01956	KEGG	CHEBI:166571	ChEBI
C16561	KEGG	CHEBI:222828	ChEBI
C16569	KEGG	CHEBI:357241	ChEBI
C07531	KEGG	CHEBI:8404	ChEBI
C07530	KEGG	CHEBI:4904	ChEBI
C08496	KEGG	CHEBI:6594	ChEBI
C11256	KEGG	CHEBI:3330	ChEBI
C12552	KEGG	CHEBI:31947	ChEBI
C12958	KEGG	CHEBI:31993	ChEBI
C13311	KEGG	CHEBI:31592	ChEBI
C15418	KEGG	CHEBI:79919	ChEBI
C15657	KEGG	CHEBI:80008	ChEBI
C15661	KEGG	CHEBI:80009	ChEBI
C16560	KEGG	CHEBI:80567	ChEBI
C16572	KEGG	CHEBI:80575	ChEBI
C16573	KEGG	CHEBI:80576	ChEBI
C16574	KEGG	CHEBI:80577	ChEBI
C16575	KEGG	CHEBI:80578	ChEBI
C19809	KEGG	CHEBI:176922	ChEBI
C20279	KEGG	CHEBI:176931	ChEBI
C05150	KEGG	CHEBI:182948	ChEBI
C07653	KEGG	CHEBI:5132	ChEBI
C01842	KEGG	CHEBI:16459	ChEBI
C04051	KEGG	CHEBI:2030	ChEBI
C07905	KEGG	CHEBI:6402	ChEBI
C15674	KEGG	CHEBI:25461	ChEBI
C05080	KEGG	CHEBI:28368	ChEBI
C05080	KEGG	CHEBI:28368	ChEBI
C12853	KEGG	CHEBI:32215	ChEBI
C06628	KEGG	CHEBI:28464	ChEBI
C06629	KEGG	CHEBI:27879	ChEBI
C10934	KEGG	CHEBI:28435	ChEBI
C09815	KEGG	CHEBI:28179	ChEBI
C10935	KEGG	CHEBI:7071	ChEBI
C07401	KEGG	CHEBI:8428	ChEBI
C06978	KEGG	CHEBI:4788	ChEBI
C18504	KEGG	CHEBI:63956	ChEBI
C07402	KEGG	CHEBI:71417	ChEBI
C12474	KEGG	CHEBI:31923	ChEBI
C12476	KEGG	CHEBI:31467	ChEBI
C12475	KEGG	CHEBI:31469	ChEBI
C06450	KEGG	CHEBI:7062	ChEBI
C11708	KEGG	CHEBI:9356	ChEBI
C12220	KEGG	CHEBI:31877	ChEBI
C14127	KEGG	CHEBI:34523	ChEBI
C18916	KEGG	CHEBI:82058	ChEBI
C12221	KEGG	CHEBI:7061	ChEBI
C10936	KEGG	CHEBI:7085	ChEBI
C11282	KEGG	CHEBI:2952	ChEBI
C11290	KEGG	CHEBI:1475	ChEBI
C11483	KEGG	CHEBI:6617	ChEBI
