Input	Input_source	Output	Output_source
C07933	KEGG	CHEBI:4318	ChEBI
C08051	KEGG	CHEBI:9327	ChEBI
C18378	KEGG	CHEBI:63928	ChEBI
C02328	KEGG	CHEBI:9619	ChEBI
C13968	KEGG	CHEBI:34614	ChEBI
C02996	KEGG	CHEBI:6711	ChEBI
C19307	KEGG	CHEBI:78897	ChEBI
C18748	KEGG	CHEBI:81934	ChEBI
C13414	KEGG	CHEBI:32137	ChEBI
C15819	KEGG	CHEBI:80105	ChEBI
C19372	KEGG	CHEBI:82427	ChEBI
C19294	KEGG	CHEBI:82369	ChEBI
C19422	KEGG	CHEBI:82467	ChEBI
C19213	KEGG	CHEBI:82305	ChEBI
C19423	KEGG	CHEBI:82468	ChEBI
C20341	KEGG	CHEBI:91260	ChEBI
C13403	KEGG	CHEBI:32140	ChEBI
C18851	KEGG	CHEBI:82010	ChEBI
C11166	KEGG	CHEBI:8984	ChEBI
C18424	KEGG	CHEBI:81737	ChEBI
C12666	KEGG	CHEBI:32044	ChEBI
C18453	KEGG	CHEBI:81757	ChEBI
C18341	KEGG	CHEBI:81687	ChEBI
C14001	KEGG	CHEBI:157785	ChEBI
C11906	KEGG	CHEBI:29678	ChEBI
C13199	KEGG	CHEBI:32149	ChEBI
C18816	KEGG	CHEBI:39289	ChEBI
C18765	KEGG	CHEBI:65242	ChEBI
C15455	KEGG	CHEBI:75215	ChEBI
C19523	KEGG	CHEBI:78667	ChEBI
C13558	KEGG	CHEBI:34683	ChEBI
C18673	KEGG	CHEBI:33192	ChEBI
C00238	KEGG	CHEBI:29103	ChEBI
C12554	KEGG	CHEBI:32029	ChEBI
C13198	KEGG	CHEBI:32030	ChEBI
C13192	KEGG	CHEBI:32036	ChEBI
C19295	KEGG	CHEBI:38211	ChEBI
C15227	KEGG	CHEBI:53444	ChEBI
C18606	KEGG	CHEBI:81862	ChEBI
C13197	KEGG	CHEBI:131527	ChEBI
C13980	KEGG	CHEBI:34789	ChEBI
